customer_id,customer_name,email,registration_date,customer_type
CUST0001,Brian Yang,johnsonjoshua@example.org,2025-11-13,REGULAR
CUST0002,Jonathan Johnson,garzaanthony@example.org,2024-05-23,REGULAR
CUST0003,Abigail Shaffer,lrobinson@example.com,2026-07-08,VIP
CUST0004,Gabrielle Davis,jpeterson@example.org,2023-12-17,VIP
CUST0005,Kimberly Dudley,melanie94@example.org,2025-02-27,REGULAR
CUST0006,Heidi Lee,arnoldmaria@example.net,2023-11-05,REGULAR
CUST0007,Sharon James,stanleykendra@example.org,2025-06-23,REGULAR
CUST0008,Timothy Wong,francisco53@example.net,2026-02-20,VIP
CUST0009,William Bowman,amandasanchez@example.com,2025-12-01,REGULAR
CUST0010,Andrew Stewart,gabriellecameron@example.org,2024-09-07,VIP
CUST0011,Matthew Foster,clarksherri@example.net,2026-04-13,REGULAR
CUST0012,Kimberly Burgess,ithomas@example.org,2025-05-15,PREMIUM
CUST0013,Peter Callahan Jr.,icox@example.net,2024-03-24,REGULAR
CUST0014,Julie King,ycarlson@example.com,2025-11-25,REGULAR
CUST0015,Patricia Peterson,frazierdanny@example.net,2024-10-17,PREMIUM
CUST0016,Deborah Mason,amoore@example.net,2024-04-22,REGULAR
CUST0017,Christina Brooks,harrellkenneth@example.net,2024-03-26,PREMIUM
CUST0018,Sherry Decker,georgetracy@example.org,2024-11-08,PREMIUM
CUST0019,John Jones,brianhumphrey@example.org,2025-10-24,PREMIUM
CUST0020,Joseph Obrien,davidalvarez@example.net,2024-06-13,REGULAR
CUST0021,Jessica Holmes,jenniferross@example.net,2024-01-23,VIP
CUST0022,Leah Smith,jeffreymorgan@example.net,2026-03-26,PREMIUM
CUST0023,David Caldwell,perezrebecca@example.com,2024-06-16,PREMIUM
CUST0024,Richard Aguirre,jenniferkhan@example.net,2024-05-10,VIP
CUST0025,Scott Brown,davisryan@example.com,2026-04-30,PREMIUM
CUST0026,Connor West,brownjessica@example.org,2025-05-05,VIP
CUST0027,Scott Pierce,joshuawright@example.org,2023-10-06,VIP
CUST0028,John Lewis,novaksara@example.org,2025-04-02,PREMIUM
CUST0029,Richard Gibson,martinaaron@example.com,2025-05-07,REGULAR
CUST0030,Lauren Daniels,smoore@example.org,2024-11-18,PREMIUM
CUST0031,Tyler Miller,williamsthomas@example.net,2024-05-03,VIP
CUST0032,Todd Hudson,larsonemma@example.org,2026-01-04,REGULAR
CUST0033,Emily Green,harveyrobert@example.net,2026-05-25,REGULAR
CUST0034,Joyce Hickman,john62@example.net,2023-11-09,VIP
CUST0035,Daniel Baker,ellisyolanda@example.org,2025-01-12,VIP
CUST0036,Joshua Turner,suarezmike@example.org,2026-04-30,VIP
CUST0037,Shawn Baker,contrerasangela@example.net,2024-01-02,VIP
CUST0038,Michael Farrell,josephjacobs@example.net,2025-09-12,PREMIUM
CUST0039,Sandra Williams,dking@example.org,2024-12-19,VIP
CUST0040,Michael Hoffman,danagreen@example.net,2024-01-09,REGULAR
CUST0041,Sandra Aguilar,landryhannah@example.org,2024-03-06,REGULAR
CUST0042,Rebecca Valencia,tanderson@example.com,2025-01-25,REGULAR
CUST0043,Stacey Russell,evelynestrada@example.com,2026-03-10,PREMIUM
CUST0044,Rita Keith,sarayoung@example.org,2023-08-27,REGULAR
CUST0045,Sharon Cochran,jillcook@example.com,2024-09-06,VIP
CUST0046,Courtney Velasquez,kristinrodriguez@example.org,2025-07-04,PREMIUM
CUST0047,Jennifer Ramirez,kevin33@example.org,2023-11-04,PREMIUM
CUST0048,Ms. Teresa Wilson,michael86@example.net,2024-08-28,VIP
CUST0049,Jeffrey Chandler,beverlyterrell@example.org,2024-11-18,PREMIUM
CUST0050,Kenneth Scott,gobrien@example.org,2025-05-27,VIP
CUST0051,Natalie Lambert,meyerlindsay@example.net,2025-02-04,PREMIUM
CUST0052,Mary Martinez,qjones@example.com,2024-10-28,PREMIUM
CUST0053,Cameron Fisher,elizabeth56@example.net,2025-02-27,PREMIUM
CUST0054,Elizabeth Clark,christinaturner@example.net,2026-01-05,REGULAR
CUST0055,Steven Flynn,steven73@example.net,2024-04-08,REGULAR
CUST0056,Robert Potter,campbellelizabeth@example.net,2026-05-30,REGULAR
CUST0057,William Carr,jeffrey32@example.org,2023-11-10,REGULAR
CUST0058,Michael Snyder,operry@example.net,2024-08-02,PREMIUM
CUST0059,Colleen Brock,dianasmith@example.org,2026-07-05,PREMIUM
CUST0060,Robert Contreras,pwilliams@example.org,2025-12-04,PREMIUM
CUST0061,Jessica Meadows,stephanie79@example.net,2025-06-11,VIP
CUST0062,Sara Ramirez,juliawells@example.com,2025-10-06,REGULAR
CUST0063,Dustin Nelson,rsims@example.com,2024-11-27,REGULAR
CUST0064,Daniel Perry,taylorjesse@example.net,2024-12-15,VIP
CUST0065,Randy Shah,nperry@example.com,2023-08-19,VIP
CUST0066,Sarah Ashley,wwoods@example.com,2025-04-30,PREMIUM
CUST0067,George Shelton,tracynelson@example.com,2025-04-08,PREMIUM
CUST0068,Susan Vargas,marycalhoun@,2026-05-14,VIP
CUST0069,David Murphy,millerroy@example.com,2025-06-25,VIP
CUST0070,Bradley Smith,matthew64@example.com,2025-11-03,VIP
CUST0071,Tyler Williams,cookemichael@example.net,2023-09-06,VIP
CUST0072,John Wilson,jamessmith@example.org,2024-06-22,VIP
CUST0073,Lawrence Adkins,xlyons@example.com,2024-01-13,REGULAR
CUST0074,Laura Odonnell,tamirodriguez@example.org,2025-02-22,REGULAR
CUST0075,Sandra Sanchez,mdavid@example.org,2026-07-07,VIP
CUST0076,Hannah Patterson,melissa91@example.net,2025-02-14,VIP
CUST0077,Ashley Yu,huntermatthew@example.com,2026-04-02,REGULAR
CUST0078,Tracie Nelson,bzimmerman@example.org,2025-11-02,PREMIUM
CUST0079,Samuel Rivas,umarshall@example.net,2023-12-01,PREMIUM
CUST0080,Jamie Johnson,nicole37@example.net,2024-12-05,REGULAR
CUST0081,Spencer Haynes,tonykelly@example.com,2024-09-21,REGULAR
CUST0082,Katherine Chang,blackjames@example.org,2026-06-26,PREMIUM
CUST0083,Anna Walker,fbrewer@example.com,2026-06-28,VIP
CUST0084,Hailey Barajas,kevinperkins@example.com,2025-11-20,REGULAR
CUST0085,Bryan Lee,michael74@example.com,2024-01-21,VIP
CUST0086,Vanessa Warren,jamesrodgers@example.com,2024-10-01,VIP
CUST0087,Adrian Ferguson,wallkenneth@example.com,2024-09-18,PREMIUM
CUST0088,Margaret Mullins,mccannangela@example.net,2023-12-26,VIP
CUST0089,Vincent King,andrewstaylor@example.com,2025-07-31,VIP
CUST0090,Melissa Hernandez,shortrichard@example.org,2025-12-10,PREMIUM
CUST0091,Lisa Gibbs,christopher31@example.net,2024-07-04,VIP
CUST0092,Wanda Torres,chayes@example.com,2026-03-10,PREMIUM
CUST0093,Deborah Miller,lynchjody@example.org,2024-07-26,PREMIUM
CUST0094,Kirk Carter,andreamoore@example.com,2024-07-13,REGULAR
CUST0095,Dennis Moody,jasmine71@example.net,2026-01-21,REGULAR
CUST0096,Derek Thomas,ronaldstephens@example.net,2023-10-20,REGULAR
CUST0097,Jessica Harrison,lauralarson@example.net,2024-11-03,REGULAR
CUST0098,Bobby Williams MD,gbender@example.net,2024-12-01,VIP
CUST0099,Yvonne Chambers,anthony39@example.net,2024-09-10,REGULAR
CUST0100,Sydney White,hinesgregory@example.net,2026-01-14,PREMIUM
CUST0101,Jason Morris,fwalters@example.org,2023-12-29,REGULAR
CUST0102,Jennifer Hodges,marksteele@example.com,2023-09-15,PREMIUM
CUST0103,Raymond Hancock,qmiller@example.com,2023-07-21,REGULAR
CUST0104,Peter Garrett,mgutierrez@example.net,2023-10-08,VIP
CUST0105,Michael Martinez,josephanderson@example.com,2026-03-24,REGULAR
CUST0106,Anna Gay,jennifercollins@example.org,2024-01-12,PREMIUM
CUST0107,Dr. Jordan Hill PhD,pvalentine@example.org,2025-07-22,REGULAR
CUST0108,Katie Suarez,stephenthomas@example.org,2023-11-05,PREMIUM
CUST0109,Aaron Barber,kendra65@example.net,2026-01-16,PREMIUM
CUST0110,Mr. Phillip Bennett,cgrimes@example.net,2024-11-30,REGULAR
CUST0111,Reginald Williams,tinaallen@example.com,2025-07-23,VIP
CUST0112,Mrs. Amanda Shaw,qhughes@example.net,2026-01-21,PREMIUM
CUST0113,Alexis Thomas,molly71@example.net,2026-05-02,REGULAR
CUST0114,Michael Santos,charlesharrington@example.com,2024-12-11,REGULAR
CUST0115,Katherine Weaver,ofinley@example.net,2026-03-05,REGULAR
CUST0116,Nicole Hamilton MD,younggabrielle@example.com,2026-03-30,PREMIUM
CUST0117,Robert Carter,wallaceheather@example.org,2025-02-21,REGULAR
CUST0118,Rebecca Jackson,hthomas@example.com,2023-11-19,VIP
CUST0119,Briana Murray,pharvey@example.com,2024-08-17,VIP
CUST0120,Megan Moore,ascott@example.com,2025-06-05,REGULAR
CUST0121,Ryan Gonzalez,vanessa46@example.net,2025-03-08,REGULAR
CUST0122,Edward Lyons,yrodriguez@example.net,2023-08-23,PREMIUM
CUST0123,Valerie Lozano,khill@example.net,2025-08-29,PREMIUM
CUST0124,Connor King,kimberly39@example.com,2026-05-09,REGULAR
CUST0125,Richard Johnson,courtneyberger@example.net,2025-02-05,PREMIUM
CUST0126,Curtis Buchanan,christopherphillips@example.net,2025-02-07,PREMIUM
CUST0127,Gina Wilson,maria47@example.com,2023-11-13,VIP
CUST0128,Veronica Coffey,karenperez@example.net,2025-12-01,VIP
CUST0129,Jordan Chambers,christopher60@example.com,2026-05-29,PREMIUM
